지점,일시,기온(°C),누적강수량(mm),풍향(deg),풍속(m/s),현지기압(hPa),해면기압(hPa),습도(%),일사(MJ/m^2),일조(Sec)
108,2023-03-01 00:40,6.1,0,47.6,1,1013.3,1023.9,67.5,0,0
108,2023-03-01 00:41,6.1,0,12.3,.8,1013.3,1023.9,68.1,0,0
108,2023-03-01 00:42,6.1,0,24.7,.8,1013.2,1023.8,68.1,0,0
108,2023-03-01 00:43,6.1,0,48.7,.7,1013.2,1023.8,68.2,0,0
108,2023-03-01 00:44,6.1,0,62.8,.8,1013.2,1023.8,68.8,0,0
108,2023-03-01 00:45,6.1,0,47.3,1,1013.2,1023.8,68.1,0,0
108,2023-03-01 00:46,6.1,0,47.4,.9,1013.1,1023.7,68.4,0,0
108,2023-03-01 00:47,6.1,0,58.9,.5,1013.1,1023.7,68.9,0,0
108,2023-03-01 00:48,6.1,0,67.8,.6,1013.1,1023.7,68.1,0,0
108,2023-03-01 00:49,6.1,0,36.8,.7,1013.2,1023.8,68.3,0,0
108,2023-03-01 00:50,6.1,0,342.7,.8,1013.2,1023.8,68.3,0,0
108,2023-03-01 00:51,6.1,0,340.3,.4,1013.2,1023.8,67.4,0,0
108,2023-03-01 00:52,6.1,0,289.6,.4,1013.1,1023.7,68.4,0,0
108,2023-03-01 00:53,6.1,0,245.5,.2,1013.1,1023.7,67.7,0,0
108,2023-03-01 00:54,6.1,0,0,0,1013.1,1023.7,68.1,0,0
108,2023-03-01 00:55,6.1,0,0,0,1013,1023.6,68.3,0,0
108,2023-03-01 00:56,6.1,0,0,0,1013.1,1023.7,67.8,0,0
108,2023-03-01 00:57,6.1,0,0,0,1013.1,1023.7,68.3,0,0
108,2023-03-01 00:58,6.1,0,114.6,0,1013.1,1023.7,67.5,0,0
108,2023-03-01 00:59,6.1,0,0,0,1013.1,1023.7,67.2,0,0
108,2023-03-01 01:00,6.1,0,0,0,1013.1,1023.7,68.1,0,0
108,2023-03-01 01:01,6.1,0,0,0,1013.1,1023.7,68.2,0,0
108,2023-03-01 01:02,6.1,0,0,0,1013,1023.6,68.4,0,0
108,2023-03-01 01:03,6.1,0,0,0,1013,1023.6,68.7,0,0
108,2023-03-01 01:04,6.1,0,0,0,1013,1023.6,68.8,0,0
108,2023-03-01 01:05,6.1,0,0,0,1013.1,1023.7,69.4,0,0
108,2023-03-01 01:06,6.1,0,0,0,1013.1,1023.7,69,0,0
108,2023-03-01 01:07,6.1,0,0,0,1013.1,1023.7,69.1,0,0
108,2023-03-01 01:08,6.1,0,0,0,1013.1,1023.7,67.4,0,0
108,2023-03-01 01:09,6.1,0,0,0,1013.1,1023.7,68.5,0,0
108,2023-03-01 01:10,6.1,0,0,0,1013.1,1023.7,68.8,0,0
108,2023-03-01 01:11,6.1,0,321.4,0,1013.1,1023.7,68.6,0,0
108,2023-03-01 01:12,6.1,0,314.9,1,1013.1,1023.7,68.5,0,0
108,2023-03-01 01:13,6.1,0,301,.8,1013.1,1023.7,68.6,0,0
108,2023-03-01 01:14,6.1,0,290.5,.6,1013.1,1023.7,68.2,0,0
108,2023-03-01 01:15,6.1,0,277.3,.6,1013.1,1023.7,67.5,0,0
108,2023-03-01 01:16,6.1,0,267.4,.6,1013.1,1023.7,68.8,0,0
108,2023-03-01 01:17,6.1,0,291.7,.6,1013.1,1023.7,69,0,0
108,2023-03-01 01:18,6.1,0,313.4,.3,1013.1,1023.7,68.2,0,0
108,2023-03-01 01:19,6.1,0,297.6,.5,1013.1,1023.7,68.7,0,0
108,2023-03-01 01:20,6.1,0,308.5,.5,1013.1,1023.7,68.4,0,0
108,2023-03-01 01:21,6.1,0,300.8,0,1013.1,1023.7,67.9,0,0
108,2023-03-01 01:22,6.1,0,0,0,1013.1,1023.7,68.6,0,0
108,2023-03-01 01:23,6.1,0,268.2,.1,1013,1023.6,68.9,0,0
108,2023-03-01 01:24,6.1,0,283.1,0,1013,1023.6,69,0,0
108,2023-03-01 01:25,6.1,0,301.2,.7,1013,1023.6,68.6,0,0
108,2023-03-01 01:26,6.1,0,307.5,1.1,1013,1023.6,69.8,0,0
108,2023-03-01 01:27,6.1,0,298.1,1.1,1013,1023.6,69.3,0,0
108,2023-03-01 01:28,6.1,0,274.3,1.3,1013.1,1023.7,69.1,0,0
108,2023-03-01 01:29,6.1,0,283.7,1.1,1013.1,1023.7,69.6,0,0
108,2023-03-01 01:30,6.1,0,278.3,1,1013.1,1023.7,70.5,0,0
108,2023-03-01 01:31,6.2,0,275,1.2,1013,1023.6,70,0,0
108,2023-03-01 01:32,6.2,0,258.3,1.5,1013,1023.6,69.6,0,0
108,2023-03-01 01:33,6.2,0,277.6,1,1013,1023.6,69.7,0,0
108,2023-03-01 01:34,6.2,0,282.8,1.4,1013,1023.6,69.1,0,0
108,2023-03-01 01:35,6.2,0,290.6,1.2,1012.9,1023.5,69.6,0,0
108,2023-03-01 01:36,6.2,0,315.2,1,1012.9,1023.5,70,0,0
108,2023-03-01 01:37,6.2,0,321.5,.9,1012.9,1023.5,69.5,0,0
108,2023-03-01 01:38,6.1,0,239.9,.3,1012.9,1023.5,70.1,0,0
108,2023-03-01 01:39,6.1,0,195.3,.9,1012.9,1023.5,68.7,0,0
108,2023-03-01 01:40,6.1,0,194.7,.9,1012.9,1023.5,68.5,0,0
108,2023-03-01 01:41,6.1,0,201.8,1.1,1012.9,1023.5,69,0,0
108,2023-03-01 01:42,6.1,0,172.7,.8,1012.9,1023.5,69,0,0
108,2023-03-01 01:43,6.1,0,163,.9,1012.8,1023.4,69.4,0,0
108,2023-03-01 01:44,6.1,0,78,.2,1012.9,1023.5,68.8,0,0
108,2023-03-01 01:45,6.1,0,128.9,.3,1012.9,1023.5,69.2,0,0
108,2023-03-01 01:46,6.1,0,0,0,1012.9,1023.5,69.5,0,0
108,2023-03-01 01:47,6.1,0,273.4,0,1012.9,1023.5,71.2,0,0
108,2023-03-01 01:48,6.2,0,267.1,1.1,1012.9,1023.5,69.9,0,0
108,2023-03-01 01:49,6.2,0,225,2.1,1012.9,1023.5,70.3,0,0
108,2023-03-01 01:50,6.2,0,244.2,2.2,1012.9,1023.5,70.5,0,0
108,2023-03-01 01:51,6.2,0,235,2.5,1012.9,1023.5,69.3,0,0
108,2023-03-01 01:52,6.2,0,226,2.4,1012.9,1023.5,70.8,0,0
108,2023-03-01 01:53,6.2,0,229.1,2.2,1012.9,1023.5,70.2,0,0
108,2023-03-01 01:54,6.2,0,247.1,2.1,1012.9,1023.5,70,0,0
108,2023-03-01 01:55,6.2,0,275.9,1.8,1012.9,1023.5,69.6,0,0
108,2023-03-01 01:56,6.3,0,274.7,1.2,1012.9,1023.5,69.8,0,0
108,2023-03-01 01:57,6.2,0,281.8,.9,1012.9,1023.5,69.6,0,0
108,2023-03-01 01:58,6.2,0,294.9,.7,1012.9,1023.5,69.3,0,0
108,2023-03-01 01:59,6.2,0,292.5,.9,1012.9,1023.5,68.9,0,0
108,2023-03-01 02:00,6.2,0,295.2,.9,1012.9,1023.5,69.1,0,0
108,2023-03-01 02:01,6.2,0,279.1,1,1012.9,1023.5,69,0,0
108,2023-03-01 02:02,6.2,0,254.4,.9,1012.9,1023.5,68.5,0,0
108,2023-03-01 02:03,6.2,0,254.7,1.2,1012.9,1023.5,69.2,0,0
108,2023-03-01 02:04,6.2,0,260.3,.9,1012.9,1023.5,68.5,0,0
108,2023-03-01 02:05,6.2,0,260.2,1.8,1012.9,1023.5,69.4,0,0
108,2023-03-01 02:06,6.2,0,256.6,1.4,1012.9,1023.5,69.6,0,0
108,2023-03-01 02:07,6.2,0,250.5,1.2,1012.9,1023.5,69.4,0,0
108,2023-03-01 02:08,6.2,0,262.3,1.1,1012.9,1023.5,69.7,0,0
108,2023-03-01 02:09,6.2,0,291.5,.8,1012.9,1023.5,70.4,0,0
108,2023-03-01 02:10,6.2,0,306.6,1,1012.8,1023.4,70.4,0,0
108,2023-03-01 02:11,6.2,0,280.1,1.1,1012.8,1023.4,69.4,0,0
108,2023-03-01 02:12,6.2,0,307.7,1,1012.8,1023.4,69.4,0,0
108,2023-03-01 02:13,6.2,0,314.6,2.3,1012.8,1023.4,69.2,0,0
108,2023-03-01 02:14,6.2,0,316.8,1.4,1012.8,1023.4,69.7,0,0
108,2023-03-01 02:15,6.2,0,299.4,1.4,1012.8,1023.4,69.5,0,0
108,2023-03-01 02:16,6.2,0,294.7,1.5,1012.7,1023.3,69.3,0,0
108,2023-03-01 02:17,6.2,0,305.4,1.3,1012.7,1023.3,69.8,0,0
108,2023-03-01 02:18,6.2,0,331.8,1.5,1012.7,1023.3,69.8,0,0
108,2023-03-01 02:19,6.2,0,343.6,1.6,1012.7,1023.3,69.4,0,0
108,2023-03-01 02:20,6.2,0,329.7,1.4,1012.7,1023.3,70.7,0,0
108,2023-03-01 02:21,6.2,0,334.8,1.5,1012.7,1023.3,70.2,0,0
108,2023-03-01 02:22,6.2,0,331,1.5,1012.7,1023.3,70.5,0,0
108,2023-03-01 02:23,6.2,0,320.6,1.7,1012.6,1023.2,69.8,0,0
108,2023-03-01 02:24,6.2,0,331,1.6,1012.6,1023.2,70.9,0,0
108,2023-03-01 02:25,6.3,0,327.3,1.3,1012.6,1023.2,70,0,0
108,2023-03-01 02:26,6.2,0,335.8,1.2,1012.6,1023.2,69.5,0,0
108,2023-03-01 02:27,6.3,0,350,1.5,1012.6,1023.2,69.7,0,0
108,2023-03-01 02:28,6.2,0,9.9,1.9,1012.6,1023.2,69.3,0,0
108,2023-03-01 02:29,6.2,0,42.5,1.4,1012.6,1023.2,68.8,0,0
108,2023-03-01 02:30,6.2,0,43.3,1.5,1012.7,1023.3,69.8,0,0
108,2023-03-01 02:31,6.2,0,96.7,1,1012.7,1023.3,69.6,0,0
108,2023-03-01 02:32,6.2,0,324.9,1.3,1012.7,1023.3,69,0,0
108,2023-03-01 02:33,6.2,0,343.2,1.3,1012.7,1023.3,69.6,0,0
108,2023-03-01 02:34,6.2,0,315,1,1012.6,1023.2,69.5,0,0
108,2023-03-01 02:35,6.2,0,342.8,.6,1012.6,1023.2,69.8,0,0
108,2023-03-01 02:36,6.2,0,354.8,.6,1012.6,1023.2,69.7,0,0
108,2023-03-01 02:37,6.2,0,29.7,.6,1012.6,1023.2,69,0,0
108,2023-03-01 02:38,6.2,0,23.5,.5,1012.6,1023.2,69.9,0,0
108,2023-03-01 02:39,6.2,0,10.8,1,1012.6,1023.2,69.5,0,0
108,2023-03-01 02:40,6.2,0,45.2,1,1012.6,1023.2,68.9,0,0
108,2023-03-01 02:41,6.2,0,56.9,.8,1012.5,1023.1,68.7,0,0
108,2023-03-01 02:42,6.2,0,71.3,.7,1012.5,1023.1,68.5,0,0
108,2023-03-01 02:43,6.2,0,63.6,1,1012.5,1023.1,69.2,0,0
108,2023-03-01 02:44,6.1,0,51.8,1.2,1012.5,1023.1,68,0,0
108,2023-03-01 02:45,6.1,0,50.9,1,1012.4,1023,69.3,0,0
108,2023-03-01 02:46,6.1,0,55.6,1,1012.4,1023,69.2,0,0
108,2023-03-01 02:47,6.1,0,48.7,1,1012.4,1023,69.6,0,0
108,2023-03-01 02:48,6.1,0,19.7,1.2,1012.4,1023,69.9,0,0
108,2023-03-01 02:49,6.1,0,14.2,1.4,1012.3,1022.9,70.2,0,0
108,2023-03-01 02:50,6.1,0,28.4,1.5,1012.3,1022.9,71,0,0
108,2023-03-01 02:51,6.1,0,27.3,1.5,1012.3,1022.9,70.2,0,0
108,2023-03-01 02:52,6.1,0,29.9,1.6,1012.3,1022.9,69.1,0,0
108,2023-03-01 02:53,6.1,0,49.4,1.2,1012.3,1022.9,69.6,0,0
108,2023-03-01 02:54,6.1,0,30.9,1.5,1012.2,1022.8,70.4,0,0
108,2023-03-01 02:55,6,0,35.8,1.4,1012.2,1022.8,69.7,0,0
108,2023-03-01 02:56,6,0,44.2,1.3,1012.2,1022.8,69.5,0,0
108,2023-03-01 02:57,6,0,48.5,.8,1012.2,1022.8,69.2,0,0
108,2023-03-01 02:58,6,0,79.8,.4,1012.2,1022.8,68.6,0,0
108,2023-03-01 02:59,6,0,23.8,.5,1012.2,1022.8,68.5,0,0
108,2023-03-01 03:00,6,0,70.7,1,1012.2,1022.8,70,0,0
108,2023-03-01 03:01,6,0,42.9,1,1012.2,1022.8,69,0,0
108,2023-03-01 03:02,6,0,45.5,.4,1012.3,1022.9,68.5,0,0
108,2023-03-01 03:03,6,0,42.1,.7,1012.3,1022.9,68.7,0,0
108,2023-03-01 03:04,6,0,51.6,.8,1012.3,1022.9,69.1,0,0
108,2023-03-01 03:05,6,0,45,1,1012.3,1022.9,69.2,0,0
108,2023-03-01 03:06,6,0,354.9,.7,1012.4,1023,68.4,0,0
108,2023-03-01 03:07,5.9,0,335.8,1.2,1012.4,1023,69.8,0,0
108,2023-03-01 03:08,5.9,0,18.1,1.2,1012.4,1023,69.9,0,0
108,2023-03-01 03:09,5.9,0,5.9,.7,1012.4,1023,70,0,0
108,2023-03-01 03:10,5.9,0,345.9,1,1012.3,1022.9,69.7,0,0
108,2023-03-01 03:11,5.9,0,336.4,1,1012.3,1022.9,69.6,0,0
108,2023-03-01 03:12,5.9,0,355.3,.9,1012.3,1022.9,69.8,0,0
108,2023-03-01 03:13,5.9,0,347.5,.8,1012.3,1022.9,69.9,0,0
108,2023-03-01 03:14,5.9,0,6.2,.7,1012.3,1022.9,69.4,0,0
108,2023-03-01 03:15,5.9,0,323.5,.8,1012.3,1022.9,69.8,0,0
108,2023-03-01 03:16,5.9,0,352.1,.8,1012.3,1022.9,70,0,0
108,2023-03-01 03:17,5.9,0,27.2,.9,1012.3,1022.9,70.2,0,0
108,2023-03-01 03:18,5.9,0,359.7,1,1012.3,1022.9,70.1,0,0
108,2023-03-01 03:19,5.9,0,17,1.1,1012.2,1022.8,69.6,0,0
108,2023-03-01 03:20,5.9,0,34.8,1.3,1012.2,1022.8,70.2,0,0
108,2023-03-01 03:21,5.9,0,91.6,1.2,1012.2,1022.8,70.4,0,0
108,2023-03-01 03:22,5.9,0,31.8,1,1012.2,1022.8,70.1,0,0
108,2023-03-01 03:23,5.9,0,356.6,.9,1012.2,1022.8,68.9,0,0
108,2023-03-01 03:24,5.9,0,355.3,.8,1012.2,1022.8,69.7,0,0
108,2023-03-01 03:25,5.9,0,2.5,.7,1012.2,1022.8,69.8,0,0
108,2023-03-01 03:26,5.9,0,7.1,.7,1012.2,1022.8,70.1,0,0
108,2023-03-01 03:27,5.9,0,357.5,.6,1012.1,1022.7,69.6,0,0
108,2023-03-01 03:28,5.9,0,16.2,.5,1012.1,1022.7,69.4,0,0
108,2023-03-01 03:29,5.9,0,16.1,.6,1012.1,1022.7,69.9,0,0
108,2023-03-01 03:30,5.9,0,14.2,.7,1012.1,1022.7,70,0,0
108,2023-03-01 03:31,5.9,0,341.4,.9,1012,1022.6,69.6,0,0
108,2023-03-01 03:32,5.9,0,343.2,1.2,1012,1022.6,69.8,0,0
108,2023-03-01 03:33,5.9,0,.6,1.2,1012,1022.6,69.6,0,0
108,2023-03-01 03:34,5.9,0,15.7,1.1,1012,1022.6,69.7,0,0
108,2023-03-01 03:35,5.9,0,10.8,1.2,1012,1022.6,69.5,0,0
108,2023-03-01 03:36,5.9,0,18.5,1.2,1011.9,1022.5,69.5,0,0
108,2023-03-01 03:37,5.9,0,34.5,1.2,1011.9,1022.5,70.2,0,0
108,2023-03-01 03:38,5.9,0,19.7,1.5,1011.9,1022.5,70.4,0,0
108,2023-03-01 03:39,5.9,0,22.8,1.4,1011.8,1022.4,69.5,0,0
108,2023-03-01 03:40,5.9,0,35.2,1.2,1011.8,1022.4,70,0,0
108,2023-03-01 03:41,5.9,0,61.8,.7,1011.8,1022.4,69.8,0,0
108,2023-03-01 03:42,5.9,0,65.8,1.2,1011.7,1022.3,70.2,0,0
108,2023-03-01 03:43,5.9,0,39.2,1.2,1011.7,1022.3,69.7,0,0
108,2023-03-01 03:44,5.9,0,42.8,1.5,1011.7,1022.3,68.6,0,0
108,2023-03-01 03:45,5.9,0,29.7,1.4,1011.7,1022.3,69.7,0,0
108,2023-03-01 03:46,5.8,0,35.6,1.4,1011.6,1022.2,69.9,0,0
108,2023-03-01 03:47,5.9,0,54.8,1,1011.6,1022.2,69.8,0,0
108,2023-03-01 03:48,5.8,0,51.2,1,1011.6,1022.2,69.4,0,0
108,2023-03-01 03:49,5.8,0,54.6,1.1,1011.5,1022.1,70,0,0
108,2023-03-01 03:50,5.8,0,58.6,1.2,1011.5,1022.1,70.1,0,0
108,2023-03-01 03:51,5.8,0,40.3,1.5,1011.5,1022.1,69.8,0,0
108,2023-03-01 03:52,5.8,0,35.3,1.5,1011.5,1022.1,70.6,0,0
108,2023-03-01 03:53,5.8,0,30.5,1.7,1011.4,1022,70.7,0,0
108,2023-03-01 03:54,5.8,0,36.2,2.3,1011.4,1022,70.1,0,0
108,2023-03-01 03:55,5.8,0,41.4,1.9,1011.4,1022,71.5,0,0
108,2023-03-01 03:56,5.8,0,44,2.2,1011.4,1022,71,0,0
108,2023-03-01 03:57,5.8,0,41.6,2.2,1011.4,1022,70.9,0,0
108,2023-03-01 03:58,5.8,0,37.4,1.5,1011.4,1022,70.2,0,0
108,2023-03-01 03:59,5.8,0,44.5,1.3,1011.4,1022,70.6,0,0
108,2023-03-01 04:00,5.8,0,26.2,1.9,1011.4,1022,69.9,0,0
108,2023-03-01 04:01,5.8,0,30.6,1.7,1011.4,1022,70.5,0,0
108,2023-03-01 04:02,5.8,0,32.8,2.1,1011.4,1022,69.8,0,0
108,2023-03-01 04:03,5.8,0,35,2.2,1011.4,1022,70.7,0,0
108,2023-03-01 04:04,5.8,0,27.7,2.2,1011.4,1022,70.8,0,0
108,2023-03-01 04:05,5.8,0,19.7,2.1,1011.4,1022,70.6,0,0
108,2023-03-01 04:06,5.8,0,26.1,2.2,1011.4,1022,70.4,0,0
108,2023-03-01 04:07,5.8,0,14.6,2.3,1011.4,1022,70.6,0,0
108,2023-03-01 04:08,5.8,0,19.6,2.3,1011.5,1022.1,69.8,0,0
108,2023-03-01 04:09,5.8,0,20.8,2.4,1011.5,1022.1,70.8,0,0
108,2023-03-01 04:10,5.8,0,32.3,2.1,1011.5,1022.1,70.6,0,0
108,2023-03-01 04:11,5.7,0,27.5,2.4,1011.5,1022.1,70.3,0,0
108,2023-03-01 04:12,5.7,0,35.6,2.3,1011.5,1022.1,70.2,0,0
108,2023-03-01 04:13,5.7,0,17.9,2.3,1011.5,1022.1,70.1,0,0
108,2023-03-01 04:14,5.7,0,21.8,2.3,1011.5,1022.1,70.7,0,0
108,2023-03-01 04:15,5.7,0,5.5,2.3,1011.5,1022.1,71.4,0,0
108,2023-03-01 04:16,5.7,0,29.3,2.3,1011.5,1022.1,70.4,0,0
108,2023-03-01 04:17,5.7,0,22.2,2.4,1011.5,1022.1,70.2,0,0
108,2023-03-01 04:18,5.7,0,37.1,1.9,1011.5,1022.1,70.2,0,0
108,2023-03-01 04:19,5.7,0,20.4,2,1011.5,1022.1,69.3,0,0
108,2023-03-01 04:20,5.7,0,26.6,1.9,1011.5,1022.1,70.2,0,0
108,2023-03-01 04:21,5.7,0,34.4,1.7,1011.5,1022.1,70.1,0,0
108,2023-03-01 04:22,5.7,0,36.5,1.5,1011.5,1022.1,69.6,0,0
108,2023-03-01 04:23,5.7,0,80.3,1.3,1011.5,1022.1,69.9,0,0
108,2023-03-01 04:24,5.7,0,46.4,1.5,1011.5,1022.1,69.9,0,0
108,2023-03-01 04:25,5.7,0,34,1.9,1011.5,1022.1,70,0,0
108,2023-03-01 04:26,5.7,0,17.9,2.1,1011.5,1022.1,69.1,0,0
108,2023-03-01 04:27,5.7,0,22.4,2,1011.5,1022.1,70,0,0
108,2023-03-01 04:28,5.7,0,30.2,1.7,1011.4,1022,69.7,0,0
108,2023-03-01 04:29,5.7,0,35.2,1.5,1011.4,1022,69,0,0
108,2023-03-01 04:30,5.7,0,42,1.2,1011.4,1022,69.4,0,0
108,2023-03-01 04:31,5.7,0,43.7,1,1011.4,1022,69.2,0,0
108,2023-03-01 04:32,5.7,0,49,1.2,1011.4,1022,68.4,0,0
108,2023-03-01 04:33,5.7,0,56.9,.8,1011.4,1022,68.4,0,0
108,2023-03-01 04:34,5.7,0,39,1.3,1011.4,1022,69.4,0,0
108,2023-03-01 04:35,5.7,0,38.6,1.4,1011.4,1022,69.4,0,0
108,2023-03-01 04:36,5.6,0,38.1,1.3,1011.4,1022,69.4,0,0
108,2023-03-01 04:37,5.6,0,38.6,1.4,1011.3,1021.9,69.4,0,0
108,2023-03-01 04:38,5.6,0,53.1,1.3,1011.3,1021.9,68.9,0,0
108,2023-03-01 04:39,5.6,0,70.5,1.3,1011.3,1021.9,69.4,0,0
108,2023-03-01 04:40,5.6,0,61.2,2,1011.3,1021.9,68.9,0,0
108,2023-03-01 04:41,5.6,0,34,2.5,1011.3,1021.9,68.7,0,0
108,2023-03-01 04:42,5.6,0,28.8,2.3,1011.2,1021.8,69.6,0,0
108,2023-03-01 04:43,5.6,0,25.5,2.4,1011.2,1021.8,69.6,0,0
108,2023-03-01 04:44,5.6,0,14.9,2.7,1011.2,1021.8,69.6,0,0
108,2023-03-01 04:45,5.6,0,27.7,2.5,1011.2,1021.8,69.4,0,0
108,2023-03-01 04:46,5.6,0,115.9,1.8,1011.2,1021.8,69.3,0,0
108,2023-03-01 04:47,5.6,0,36.5,1.9,1011.2,1021.8,69.5,0,0
108,2023-03-01 04:48,5.6,0,29,2.2,1011.2,1021.8,69.6,0,0
108,2023-03-01 04:49,5.7,0,30.5,1.8,1011.2,1021.8,69.3,0,0
108,2023-03-01 04:50,5.6,0,48.6,1.9,1011.2,1021.8,69.2,0,0
108,2023-03-01 04:51,5.6,0,20.8,2.2,1011.2,1021.8,69.3,0,0
108,2023-03-01 04:52,5.6,0,15.6,2,1011.2,1021.8,69,0,0
108,2023-03-01 04:53,5.6,0,34.6,1.5,1011.2,1021.8,69.2,0,0
108,2023-03-01 04:54,5.6,0,7,1.2,1011.3,1021.9,70.1,0,0
108,2023-03-01 04:55,5.7,0,330.9,1.4,1011.3,1021.9,69.9,0,0
108,2023-03-01 04:56,5.7,0,118.6,1.4,1011.3,1021.9,68.7,0,0
108,2023-03-01 04:57,5.7,0,126.8,1.4,1011.2,1021.8,69.3,0,0
108,2023-03-01 04:58,5.7,0,30.2,1.6,1011.2,1021.8,69.1,0,0
108,2023-03-01 04:59,5.7,0,325,1.3,1011.2,1021.8,68.7,0,0
108,2023-03-01 05:00,5.7,0,48.1,1.2,1011.2,1021.8,69,0,0
108,2023-03-01 05:01,5.7,0,58.2,1.1,1011.2,1021.8,69.3,0,0
108,2023-03-01 05:02,5.7,0,351.2,1.1,1011.2,1021.8,68.7,0,0
108,2023-03-01 05:03,5.7,0,335.2,.9,1011.2,1021.8,69,0,0
108,2023-03-01 05:04,5.7,0,335.5,.8,1011.2,1021.8,69.2,0,0
108,2023-03-01 05:05,5.7,0,331.4,1.2,1011.2,1021.8,69,0,0
108,2023-03-01 05:06,5.7,0,338.2,1.2,1011.2,1021.8,69,0,0
108,2023-03-01 05:07,5.7,0,327.4,1.3,1011.2,1021.8,69.1,0,0
108,2023-03-01 05:08,5.7,0,335.1,1.2,1011.2,1021.8,68.9,0,0
108,2023-03-01 05:09,5.7,0,332.3,1.3,1011.2,1021.8,69,0,0
108,2023-03-01 05:10,5.7,0,329.7,1.4,1011.2,1021.8,69,0,0
108,2023-03-01 05:11,5.7,0,331.3,1.5,1011.2,1021.8,69.4,0,0
108,2023-03-01 05:12,5.7,0,327.7,1.5,1011.2,1021.8,69.9,0,0
108,2023-03-01 05:13,5.7,0,320.7,1.2,1011.3,1021.9,69.1,0,0
108,2023-03-01 05:14,5.7,0,301,1,1011.3,1021.9,69.1,0,0
108,2023-03-01 05:15,5.7,0,331.3,.9,1011.2,1021.8,68.9,0,0
108,2023-03-01 05:16,5.7,0,335.1,.9,1011.2,1021.8,68.3,0,0
108,2023-03-01 05:17,5.7,0,338.5,.9,1011.2,1021.8,68.7,0,0
108,2023-03-01 05:18,5.7,0,343,.9,1011.3,1021.9,68.5,0,0
108,2023-03-01 05:19,5.7,0,339.4,.7,1011.3,1021.9,68.6,0,0
108,2023-03-01 05:20,5.7,0,347.7,.7,1011.3,1021.9,68.8,0,0
